"filename", "language", "YAML", "JSON", "XML", "Markdown", "HTML", "C++", "Dart", "Groovy", "Properties", "Swift", "comment", "blank", "total"
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\widgets\loading_button_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\widgets\slidable_delete_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\core\widgets\small_text_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 48
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 8, 4, 22
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\data\datasources\auth_local_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 7, 30
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\data\datasources\auth_remote_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\data\models\login_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 1, 23, 148
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\data\models\register_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 1, 22, 147
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\data\repositories\auth_repository_implementation.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 35, 12, 117
"d:\Programming\Projects\Flutter Projects\Work\kw_store\lib\modules\auth\domain\entities\login.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 7, 49
